Tanggal,Bulan,Tempratur,kelembapan udara rata2,Tekanan ,kecepatan ,arahangin,curahhujan
1,9,30.7,66,998.2,1.7,130,0
2,9,28.7,75,1000,1.4,360,12
3,9,26.3,75,1000.1,4.1,130,30
4,9,29.7,65,999.1,3.5,90,6
5,9,30.3,67,998.1,2.3,270,14
6,9,30.2,66,998.3,2.1,130,0
7,9,28.7,76,1000.4,1.3,360,0
8,9,28.6,76,1001,1.9,180,0
9,9,27.9,80,999.5,1.2,220,2
10,9,29.1,76,997.5,1.3,360,12
11,9,29.2,71,999.1,2.2,90,14
12,9,28.7,76,1000.1,2.3,180,1
13,9,26.2,86,1000.7,0.6,90,1
14,9,28.5,74,998.6,2.3,130,10
15,9,29,59,999.5,5,130,1
16,9,26,72,1001.4,2,90,0
17,9,30.7,61,1000.1,2.9,90,3
18,9,28.9,72,1000.9,2,130,0
19,9,29.8,69,1000.1,2.3,90,9
20,9,29.9,70,999.5,1.7,220,15
21,9,29.1,75,999.1,1.8,360,0
22,9,27.3,83,1000,1.7,90,24
23,9,29.4,73,1000.4,2,270,44
24,9,27.5,82,1001.2,1.1,220,3
25,9,26.1,88,1000.5,1.1,270,51
26,9,28,79,1000.4,1.5,360,68
27,9,29.7,69,1000,2.5,130,10
28,9,28.1,79,1000.7,1.4,360,16
29,9,28.2,78,999.7,2.3,270,11
30,9,28.9,76,999.1,1.1,220,24
31,9,28.9,76,999.1,1.1,220,24
1,10,30.2,66,997.9,3.6,130,0
2,10,28.2,79,998.9,1.9,130,0
3,10,28.4,79,999.3,1.1,220,32
4,10,27.6,83,999.1,1.4,90,4
5,10,27.0,86,999.3,1.2,50,69
6,10,27.2,84,999.4,1.3,50,62
7,10,27.1,86,999.6,0.8,360,25
8,10,27.2,84,999.3,0.8,360,28
9,10,28.6,76,998.8,1.1,360,19
10,10,27.9,80,998.5,0.5,180,2
11,10,26.6,85,998.0,1.4,50,2
12,10,27.8,78,998.2,0.7,50,43
13,10,29.2,69,999.2,1.7,90,29
14,10,27.1,84,999.5,0.9,180,3
15,10,26.7,87,999.2,0.5,360,15
16,10,29.5,71,998.3,1.0,320,26
17,10,26.0,87,1000.1,1.7,180,8
18,10,27.1,79,999.8,2.6,180,37
19,10,30.1,63,998.5,2.3,180,3
20,10,30.0,69,998.8,1.2,180,3
21,10,30.4,65,998.8,2.7,130,0
22,10,30.5,60,999.0,3.1,90,0
23,10,30.5,61,998.9,2.4,90,0
24,10,28.6,75,1000.2,2.1,50,0
25,10,28.6,74,999.7,1.4,50,1
26,10,29.1,75,999.0,1.4,90,0
27,10,30.4,59,999.5,3.6,360,14
28,10,30.6,60,1000.9,2.6,360,0
29,10,28.9,73,1001.1,1.3,360,1
30,10,30.1,66,999.6,3.5,50,0
31,10,29.0,75,998.6,2.0,50,0
1,11,29.8,68,998.5,2.7,50,11
2,11,29.6,70,1001.3,1.9,360,0
3,11,27.8,79,1001.7,2.5,50,2
4,11,28.1,78,1001.5,2.7,130,1
5,11,28.2,77,1001.5,2.6,50,18
6,11,29.1,75,936.8,2.8,220,30
7,11,28.6,79,999.9,3.3,220,2
8,11,29.0,77,999.4,2.5,360,6
9,11,30.2,61,999.2,2.5,360,0
10,11,30.2,61,1000.2,4.2,180,0
11,11,29.9,71,1001.5,2.5,180,0
12,11,29.7,71,1000.8,3.0,50,0
13,11,28.5,77,999.0,1.7,180,0
14,11,27.9,85,1000.1,2.7,360,0
15,11,28.5,82,1000.2,1.7,220,4
16,11,27.1,85,999.8,1.6,360,5
17,11,29.5,73,998.8,1.8,90,1
18,11,30.2,66,998.2,3.7,90,0
19,11,30.1,66,998.1,3.1,130,1
20,11,27.9,80,998.8,1.9,360,0
21,11,28.5,77,998.9,2.2,270,2
22,11,28.0,82,998.8,1.6,320,0
23,11,27.6,82,999.2,1.6,270,1
24,11,29.5,73,998.6,3.7,220,1
25,11,28.5,78,999.0,3.5,220,0
26,11,29.2,73,998.8,2.6,220,1
27,11,28.3,78,999.2,2.4,360,0
28,11,28.9,76,998.8,1.9,220,4
29,11,26.3,88,999.1,2.5,270,2
30,11,28.6,76,999.1,4.0,220,14
31,11,0.0,0,0.0,0,0,0
1,12,27.7,81,999.6,4.1,270,7
2,12,29.0,77,998.4,4.1,220,28
3,12,28.7,78,998.4,3.4,220,28
4,12,30.1,70,997.8,2.4,220,0
5,12,29.5,76,998.8,3.4,220,0
6,12,29.8,74,999.6,2.1,220,0
7,12,27.7,85,1000.3,1.2,180,0
8,12,28.4,79,1000.3,2.0,50,26
9,12,29.7,74,999.1,2.0,130,26
10,12,28.5,81,999.8,1.2,270,0
11,12,29.0,75,999.3,1.8,50,0
12,12,27.9,80,999.5,0.4,360,7
13,12,28.6,78,999.1,2.6,270,95
14,12,28.0,78,1000.3,2.6,270,2
15,12,28.6,74,999.5,3.0,270,34
16,12,26.9,82,999.7,2.9,220,16
17,12,27.9,80,997.8,3.5,270,2
18,12,28.4,80,997.0,3.8,270,9
19,12,30.3,71,997.6,2.0,220,9
20,12,29.3,80,998.5,2.4,360,1
21,12,26.3,85,999.1,1.4,220,88
22,12,27.4,83,999.7,2.4,360,0
23,12,28.6,80,998.6,2.5,270,16
24,12,27.5,83,998.7,1.6,270,59
25,12,26.7,85,998.7,2.3,220,0
26,12,25.6,89,999.6,0.8,220,24
27,12,28.5,77,999.2,0.2,220,8
28,12,28.9,79,998.7,1.4,360,0
29,12,27.1,82,998.3,0.2,360,15
30,12,27.7,81,998.8,0.2,270,3
31,12,28.1,76,999.0,2.5,220,1
1,1,28.2,78,999.3,3.8,220,2
2,1,28.7,76,999.0,3.8,270,0
3,1,27.5,83,999.3,1.3,270,1
4,1,25.7,87,999.7,1.3,220,0
5,1,27.1,85,998.8,2.4,270,56
6,1,27.0,84,998.2,3.1,220,0
7,1,26.3,89,998.1,0.9,270,6
8,1,28.4,79,998.1,2.3,220,15
9,1,28.3,76,998.2,2.0,270,0
10,1,28.9,76,997.9,1.1,360,0
11,1,29.8,71,997.9,2.1,270,0
12,1,28.7,79,998.7,2.5,270,0
13,1,28.1,81,998.6,1.1,270,2
14,1,28.7,79,998.5,2.4,220,0
15,1,26.9,87,997.9,3.7,220,22
16,1,24.2,95,997.5,2.9,220,121
17,1,26.0,86,998.1,6.4,220,158
18,1,27.4,84,997.8,3.2,220,10
19,1,29.5,74,998.2,1.1,050,21
20,1,29.2,75,999.1,3.0,050,0
21,1,28.6,80,999.4,3.0,050,9
22,1,25.8,90,1000.3,1.5,270,2
23,1,27.2,86,1000.3,1.7,220,91
24,1,26.0,86,1000.9,2.5,220,21
25,1,25.2,89,1000.2,1.7,220,37
26,1,25.6,91,998.9,1.5,220,13
27,1,26.3,88,998.4,1.5,270,13
28,1,26.8,85,999.3,1.7,270,7
29,1,27.9,76,999.1,3.0,220,4
30,1,27.9,77,999.4,4.7,050,49
31,1,26.3,88,1000.4,0.2,360,0
1,2,25.8,91,1000.6,0.8,270,6
2,2,26.7,85,1000.7,3.2,270,69
3,2,28.6,76,999.8,1.2,270,0
4,2,27.4,82,999.9,2.6,270,5
5,2,27.0,84,1000.2,1.4,270,2
6,2,27.6,82,999.2,2.9,270,6
7,2,28.4,78,998.4,1.1,130,3
8,2,27.8,80,999.3,2.2,270,6
9,2,29.5,73,999.0,1.5,270,0
10,2,29.4,75,999.2,1.7,270,0
11,2,29.8,76,999.2,2.2,270,0
12,2,29.0,78,999.9,1.8,270,0
13,2,25.4,91,1001.3,2.3,270,0
14,2,27.8,81,1000.4,1.9,270,28
15,2,24.6,95,1001.4,1.5,270,73
16,2,28.4,77,1000.7,3.1,270,15
17,2,27.6,82,999.7,4.2,270,0
18,2,24.9,92,1000.8,2.0,270,74
19,2,26.7,86,999.7,4.4,270,21
20,2,28.1,75,999.8,5.9,270,4
21,2,28.1,75,999.8,5.2,270,0
22,2,27.8,81,999.9,3.0,270,8
23,2,27.6,84,998.8,2.6,270,2
24,2,27.5,85,998.6,3.0,270,30
25,2,29.1,75,998.0,3.0,270,3
26,2,29.4,73,997.8,1.9,270,0
27,2,29.5,75,999.0,1.7,220,0
28,2,28.4,81,1000.5,2.5,270,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
